CODIGO;BIBLIOGRAFIA;Ano
GA217;Básica;2008
GA217;Básica;2005
GA217;Básica;2018
GA217;Básica;2014
GA217;Complementar;2011
GA217;Complementar;2023
GA217;Complementar;2023
GA217;Complementar;2023
GA217;Complementar;2022
GA217;Complementar;2023
GA217;Complementar;2023
GC138;Básica;2018
GC138;Básica;1990
GC138;Básica;2003
GC138;Básica;2009
GC138;Básica;1995
GC138;Básica;2009
GC138;Básica;2011
GC138;Complementar;2006
GC138;Complementar;2008
GC138;Complementar;1991
GC138;Complementar;1988
GC138;Complementar;2001
GA123;Básica;2016
GA123;Básica;2010
GA123;Básica;2015
GA123;Complementar;1987
GA123;Complementar;1985
GA123;Complementar;Ano não encontrado ou inválido
GA123;Complementar;Ano não encontrado ou inválido
GA123;Complementar;1981
GA123;Complementar;Ano não encontrado ou inválido
GA124;Básica;2012
GA124;Básica;2019
GA124;Básica;2017
GA124;Complementar;2010
GA124;Complementar;2016
GA124;Complementar;2020
GA124;Complementar;2021
GA124;Complementar;Ano não encontrado ou inválido
GA219;Básica;2006
GA219;Básica;2017
GA219;Básica;2003
GA219;Básica;2001
GA219;Complementar;1971
GA219;Complementar;1999
GA219;Complementar;2001
GA219;Complementar;2009
GA219;Complementar;2006
GA219;Complementar;2020
GA219;Complementar;2013
GA219;Complementar;2011
GA219;Complementar;2012
GA219;Complementar;1988
GA219;Complementar;2012
GA219;Complementar;2015
GA219;Complementar;Ano não encontrado ou inválido
GA219;Complementar;2005
GA219;Complementar;2016
GA219;Complementar;2008
GA219;Complementar;2008
GA219;Complementar;1991
GA219;Complementar;1993
GA219;Complementar;Ano não encontrado ou inválido
GA219;Complementar;2006
GA220;Básica;2023
GA220;Básica;2023
GA220;Básica;2023
GA220;Básica;2020
GA220;Complementar;1991
GA220;Complementar;Ano não encontrado ou inválido
GA220;Complementar;1995
GA220;Complementar;2023
GA220;Complementar;2023
GA220;Complementar;2023
GA220;Complementar;2023
GA220;Complementar;2023
GA220;Complementar;2023
GA221;Básica;2003
GA221;Básica;1999
GA221;Básica;2011
GA221;Básica;1987
GA221;Básica;2021
GA221;Básica;Ano não encontrado ou inválido
GA221;Básica;1997
GA221;Básica;2022
GA221;Complementar;2007
GA221;Complementar;2010
GA221;Complementar;2019
GA221;Complementar;2012
GA221;Complementar;2017
GA221;Complementar;2019
GA221;Complementar;Ano não encontrado ou inválido
GA221;Complementar;2010
GA221;Complementar;2010
GA221;Complementar;1986
GA221;Complementar;2021
GA221;Complementar;2005
GA221;Complementar;2002
GA222;Básica;1998
GA222;Básica;2001
GA222;Básica;2012
GA222;Básica;2019
GA222;Complementar;2023
GA222;Complementar;1991
GA222;Complementar;2019
GA222;Complementar;2002
GA222;Complementar;2018
GA222;Complementar;2023
GA222;Complementar;2023
GA222;Complementar;2023
GA222;Complementar;2023
GA222;Complementar;2023
GA222;Complementar;2023
GA222;Complementar;2023
GA222;Complementar;2018
GB121;Básica;1995
GB121;Básica;1996
GB121;Básica;1990
GB121;Complementar;2007
GB121;Complementar;2000
GB121;Complementar;2001
GB121;Complementar;1980
GB121;Complementar;2006
GA127;Básica;2003
GA127;Básica;2007
GA127;Básica;2004
GA127;Básica;1987
GA127;Básica;1997
GA127;Básica;2022
GA127;Complementar;2008
GA127;Complementar;Ano não encontrado ou inválido
GA127;Complementar;2006
GA127;Complementar;Ano não encontrado ou inválido
GA127;Complementar;2010
GA127;Complementar;Ano não encontrado ou inválido
GA225;Básica;1976
GA225;Básica;1985
GA225;Básica;1994
GA225;Básica;Ano não encontrado ou inválido
GA225;Complementar;2022
GA225;Complementar;1976
GA225;Complementar;1974
GA225;Complementar;1996
GA225;Complementar;2006
GA225;Complementar;1996
GA225;Complementar;2015
GA225;Complementar;2021
GA226;Básica;1991
GA226;Básica;2003
GA226;Básica;2009
GA226;Complementar;1986
GA226;Complementar;1999
GA226;Complementar;1999
GA226;Complementar;1996
GA226;Complementar;1994
GA228;Básica;2013
GA228;Básica;2019
GA228;Básica;2011
GA228;Básica;2022
GA228;Complementar;1962
GA228;Complementar;2019
GA228;Complementar;2018
GA228;Complementar;2014
GA228;Complementar;2017
GA228;Complementar;2018
TT082;Básica;1999
TT082;Básica;2006
TT082;Básica;2017
TT082;Básica;2019
TT082;Complementar;2016
TT082;Complementar;2017
TT082;Complementar;2008
TT082;Complementar;2010
TT082;Complementar;2010
TT082;Complementar;2006
TT082;Complementar;2012
TT082;Complementar;2018
GA130;Básica;2021
GA130;Básica;2017
GA130;Básica;2015
GA130;Básica;2023
GA130;Complementar;2006
GA130;Complementar;2021
GA130;Complementar;2002
GA130;Complementar;1994
GA130;Complementar;2005
GA130;Complementar;2010
GA130;Complementar;2006
GA130;Complementar;2013
GA130;Complementar;1998
GA130;Complementar;1996
GA131;Básica;2003
GA131;Básica;2011
GA131;Básica;2004
GA131;Básica;2008
GA131;Básica;2013
GA131;Básica;2022
GA131;Básica;2012
GA131;Complementar;2019
GA131;Complementar;2016
GA131;Complementar;2007
GA131;Complementar;2010
GA131;Complementar;2006
GA131;Complementar;2012
GA131;Complementar;2004
GA131;Complementar;2017
GA131;Complementar;1997
GA131;Complementar;2021
GA131;Complementar;1993
GA131;Complementar;2004
GA131;Complementar;Ano não encontrado ou inválido
GA131;Complementar;2006
GA131;Complementar;Ano não encontrado ou inválido
GA131;Complementar;2010
GA229;Básica;2023
GA229;Básica;2003
GA229;Básica;2008
GA229;Complementar;2001
GA229;Complementar;2017
GA229;Complementar;2008
GA229;Complementar;2022
GA229;Complementar;1996
GA229;Complementar;Ano não encontrado ou inválido
GA229;Complementar;2017
GA229;Complementar;2008
GA229;Complementar;2014
GA229;Complementar;2017
GA229;Complementar;2013
GA229;Complementar;2013
GA229;Complementar;2009
GA229;Complementar;2013
GA229;Complementar;2012
GA229;Complementar;2012
GA232;Básica;2013
GA232;Básica;2023
GA232;Básica;2010
GA232;Básica;2005
GA232;Complementar;2023
GA232;Complementar;Ano não encontrado ou inválido
GA232;Complementar;2008
GA232;Complementar;2018
GA232;Complementar;2018
GA232;Complementar;2013
GA232;Complementar;2016
GA232;Complementar;2009
GA233;Básica;2016
GA233;Básica;1988
GA233;Básica;2020
GA233;Complementar;2010
GA233;Complementar;2014
GA233;Complementar;Ano não encontrado ou inválido
GA233;Complementar;2023
GA233;Complementar;2013
GA233;Complementar;2022
GA233;Complementar;2019
GA233;Complementar;2022
TT080;Básica;2000
TT080;Básica;2017
TT080;Básica;2011
TT080;Complementar;2016
TT080;Complementar;2011
TT080;Complementar;2004
TT080;Complementar;1998
TT080;Complementar;2017
GA234;Básica;1991
GA234;Básica;2002
GA234;Básica;2022
GA234;Complementar;2013
GA234;Complementar;1994
GA234;Complementar;1989
GA234;Complementar;2013
GA234;Complementar;1995
GA234;Complementar;1994
GA234;Complementar;2013
GA235;Básica;2018
GA235;Básica;2003
GA235;Básica;2005
GA235;Complementar;2005
GA235;Complementar;1998
GA235;Complementar;2022
GA235;Complementar;1994
GA235;Complementar;2021
GA235;Complementar;2022
GA235;Complementar;2022
GA235;Complementar;2017
GA235;Complementar;2018
GA235;Complementar;2005
GA235;Complementar;2016
GA235;Complementar;2011
GA235;Complementar;2023
GA235;Complementar;2013
GA235;Complementar;2007
GA235;Complementar;2012
GA235;Complementar;2002
GB122;Básica;2006
GB122;Básica;2004
GB122;Básica;2008
GB122;Complementar;2001
GB122;Complementar;2002
GB122;Complementar;1992
GB122;Complementar;1997
GB122;Complementar;2001
TH048;Básica;2011
TH048;Básica;2019
TH048;Básica;2018
TH048;Básica;2016
TH048;Complementar;2014
TH048;Complementar;2006
TH048;Complementar;2017
TH048;Complementar;2012
TH048;Complementar;2012
TH048;Complementar;2018
TT081;Básica;2006
TT081;Básica;2006
TT081;Básica;2004
TT081;Básica;1981
TT081;Básica;1997
TT081;Básica;2008
TT081;Básica;2002
TT081;Básica;2000
TT081;Básica;2004
TT081;Básica;2000
TT081;Básica;2002
TT081;Complementar;2005
TT081;Complementar;2004
TT081;Complementar;2008
TT081;Complementar;2006
TT081;Complementar;1998
GA158;Básica;2022
GA158;Básica;2014
GA158;Básica;2013
GA158;Complementar;2010
GA158;Complementar;2016
GA158;Complementar;2020
GA158;Complementar;2021
GA158;Complementar;1998
GA258;Básica;2022
GA258;Básica;2014
GA258;Básica;2013
GA258;Complementar;2010
GA258;Complementar;2016
GA258;Complementar;2020
GA258;Complementar;2021
GA258;Complementar;1998
GA100;Básica;1975
GA100;Básica;Ano não encontrado ou inválido
GA100;Básica;2000
GA100;Complementar;1998
GA100;Complementar;2022
GA100;Complementar;1994
GA100;Complementar;2021
GA100;Complementar;2013
GA100;Complementar;2013
GA100;Complementar;1979
GA100;Complementar;1987
GA100;Complementar;1989
GA100;Complementar;2012
GA101;Básica;1975
GA101;Básica;1987
GA101;Básica;Ano não encontrado ou inválido
GA101;Complementar;2000
GA101;Complementar;1998
GA101;Complementar;2022
GA101;Complementar;1994
GA101;Complementar;2021
GA101;Complementar;2013
GA101;Complementar;2013
GA101;Complementar;1979
GA101;Complementar;Ano não encontrado ou inválido
GA101;Complementar;1989
GA101;Complementar;2012
GA101;Complementar;2012
GA102;Básica;2020
GA102;Básica;2018
GA102;Básica;2020
GA102;Básica;2016
GA102;Complementar;1991
GA102;Complementar;2013
GA102;Complementar;2003
GA102;Complementar;2008
GA102;Complementar;1990
GA104;Básica;2012
GA104;Básica;1975
GA104;Básica;Ano não encontrado ou inválido
GA104;Básica;2000
GA104;Complementar;1998
GA104;Complementar;2022
GA104;Complementar;1994
GA104;Complementar;2021
GA104;Complementar;2013
GA104;Complementar;2013
GA104;Complementar;1979
GA104;Complementar;1987
GA104;Complementar;Ano não encontrado ou inválido
GA104;Complementar;1989
GA105;Básica;1997
GA105;Básica;Ano não encontrado ou inválido
GA105;Básica;Ano não encontrado ou inválido
GA105;Básica;2016
GA105;Complementar;1995
GA105;Complementar;1996
GA105;Complementar;Ano não encontrado ou inválido
GA105;Complementar;Ano não encontrado ou inválido
GA105;Complementar;Ano não encontrado ou inválido
GA108;Básica;1994
GA108;Básica;2021
GA108;Básica;2018
GA108;Básica;2000
GA108;Complementar;Ano não encontrado ou inválido
GA108;Complementar;1979
GA108;Complementar;1987
GA108;Complementar;Ano não encontrado ou inválido
GA108;Complementar;1995
GA109;Básica;1970
GA109;Básica;1973
GA109;Básica;1972
GA109;Básica;1985
GA109;Básica;2023
GA109;Básica;2023
GA109;Complementar;2006
GA109;Complementar;1976
GA109;Complementar;2023
GA109;Complementar;Ano não encontrado ou inválido
GA109;Complementar;Ano não encontrado ou inválido
GA109;Complementar;1979
GA109;Complementar;1952
GA112;Básica;2006
GA112;Básica;2017
GA112;Básica;2003
GA112;Básica;2001
GA112;Complementar;1971
GA112;Complementar;1999
GA112;Complementar;2001
GA112;Complementar;2009
GA112;Complementar;2006
GA112;Complementar;2020
GA112;Complementar;2013
GA112;Complementar;2011
GA112;Complementar;2012
GA112;Complementar;1988
GA112;Complementar;2012
GA112;Complementar;2015
GA112;Complementar;Ano não encontrado ou inválido
GA112;Complementar;2005
GA112;Complementar;2016
GA112;Complementar;2008
GA112;Complementar;2008
GA112;Complementar;1991
GA112;Complementar;1993
GA112;Complementar;Ano não encontrado ou inválido
GA112;Complementar;2006
GA116;Básica;2008
GA116;Básica;2003
GA116;Básica;Ano não encontrado ou inválido
GA116;Básica;2006
GA116;Complementar;1999
GA116;Complementar;2013
GA116;Complementar;2015
GA116;Complementar;1988
GA116;Complementar;Ano não encontrado ou inválido
GA116;Complementar;2005
GA116;Complementar;2017
GA116;Complementar;2022
GA116;Complementar;2022
GA116;Complementar;2016
GA116;Complementar;2008
GA116;Complementar;1998
GA116;Complementar;2000
GA116;Complementar;2015
GA117;Básica;2008
GA117;Básica;2005
GA117;Básica;2018
GA117;Básica;2014
GA117;Complementar;2011
GA117;Complementar;2023
GA117;Complementar;2023
GA117;Complementar;2023
GA117;Complementar;2022
GA117;Complementar;2023
GA117;Complementar;2023
GA119;Básica;2006
GA119;Básica;2017
GA119;Básica;2003
GA119;Básica;2001
GA119;Complementar;1971
GA119;Complementar;1999
GA119;Complementar;2001
GA119;Complementar;2009
GA119;Complementar;2006
GA119;Complementar;2020
GA119;Complementar;2013
GA119;Complementar;2011
GA119;Complementar;2012
GA119;Complementar;1988
GA119;Complementar;2012
GA119;Complementar;2015
GA119;Complementar;Ano não encontrado ou inválido
GA119;Complementar;2005
GA119;Complementar;2016
GA119;Complementar;2008
GA119;Complementar;2008
GA119;Complementar;1991
GA119;Complementar;1993
GA119;Complementar;Ano não encontrado ou inválido
GA119;Complementar;2006
GA120;Básica;2023
GA120;Básica;2023
GA120;Básica;2023
GA120;Básica;2020
GA120;Complementar;1991
GA120;Complementar;Ano não encontrado ou inválido
GA120;Complementar;1995
GA120;Complementar;2023
GA120;Complementar;2023
GA120;Complementar;2023
GA120;Complementar;2023
GA120;Complementar;2023
GA120;Complementar;2023
GA121;Básica;2003
GA121;Básica;1999
GA121;Básica;2011
GA121;Básica;1987
GA121;Básica;2021
GA121;Básica;Ano não encontrado ou inválido
GA121;Básica;1997
GA121;Básica;2022
GA121;Complementar;2007
GA121;Complementar;2010
GA121;Complementar;2019
GA121;Complementar;2012
GA121;Complementar;2017
GA121;Complementar;2019
GA121;Complementar;Ano não encontrado ou inválido
GA121;Complementar;2010
GA121;Complementar;2010
GA121;Complementar;1986
GA121;Complementar;2021
GA121;Complementar;2005
GA121;Complementar;2002
GA122;Básica;1998
GA122;Básica;2001
GA122;Básica;2012
GA122;Básica;2019
GA122;Complementar;2023
GA122;Complementar;1991
GA122;Complementar;2019
GA122;Complementar;2002
GA122;Complementar;2018
GA122;Complementar;2023
GA122;Complementar;2023
GA122;Complementar;2023
GA122;Complementar;2023
GA122;Complementar;2023
GA122;Complementar;2023
GA122;Complementar;2023
GA122;Complementar;2018
GA125;Básica;1976
GA125;Básica;1985
GA125;Básica;1994
GA125;Básica;Ano não encontrado ou inválido
GA125;Complementar;2022
GA125;Complementar;1976
GA125;Complementar;1974
GA125;Complementar;1996
GA125;Complementar;2006
GA125;Complementar;1996
GA125;Complementar;2015
GA125;Complementar;2021
GA126;Básica;1991
GA126;Básica;2003
GA126;Básica;2009
GA126;Complementar;1986
GA126;Complementar;1999
GA126;Complementar;1999
GA126;Complementar;1996
GA126;Complementar;1994
GA128;Básica;2013
GA128;Básica;2019
GA128;Básica;2011
GA128;Básica;2022
GA128;Complementar;1962
GA128;Complementar;2019
GA128;Complementar;2018
GA128;Complementar;2014
GA128;Complementar;2017
GA128;Complementar;2018
GA129;Básica;2023
GA129;Básica;2003
GA129;Básica;2008
GA129;Complementar;2001
GA129;Complementar;2017
GA129;Complementar;2008
GA129;Complementar;2022
GA129;Complementar;1996
GA129;Complementar;Ano não encontrado ou inválido
GA129;Complementar;2017
GA129;Complementar;2008
GA129;Complementar;2014
GA129;Complementar;2017
GA129;Complementar;2013
GA129;Complementar;2013
GA129;Complementar;2009
GA129;Complementar;2013
GA129;Complementar;2012
GA129;Complementar;2012
GA132;Básica;2013
GA132;Básica;2023
GA132;Básica;2010
GA132;Básica;2005
GA132;Complementar;2023
GA132;Complementar;Ano não encontrado ou inválido
GA132;Complementar;2008
GA132;Complementar;2018
GA132;Complementar;2018
GA132;Complementar;2013
GA132;Complementar;2016
GA132;Complementar;2009
GA133;Básica;2016
GA133;Básica;1988
GA133;Básica;2020
GA133;Complementar;2010
GA133;Complementar;2014
GA133;Complementar;Ano não encontrado ou inválido
GA133;Complementar;2023
GA133;Complementar;2013
GA133;Complementar;2022
GA133;Complementar;2019
GA133;Complementar;2022
GA134;Básica;1991
GA134;Básica;2002
GA134;Básica;2022
GA134;Complementar;2013
GA134;Complementar;1994
GA134;Complementar;1989
GA134;Complementar;2013
GA134;Complementar;1995
GA134;Complementar;1994
GA134;Complementar;2013
GA135;Básica;2018
GA135;Básica;2003
GA135;Básica;2005
GA135;Complementar;2005
GA135;Complementar;1998
GA135;Complementar;2022
GA135;Complementar;1994
GA135;Complementar;2021
GA135;Complementar;2022
GA135;Complementar;2022
GA135;Complementar;2017
GA135;Complementar;2018
GA135;Complementar;2005
GA135;Complementar;2016
GA135;Complementar;2011
GA135;Complementar;2023
GA135;Complementar;2013
GA135;Complementar;2007
GA135;Complementar;2012
GA135;Complementar;2002
